TaskNumber,Task,Arm,DeterministicScore,CoreArtifactMissing,HardGatePass,FailureCodes,Run1_E,Run1_M,Run1_R,Run1_Read,Run1_Total,Run2_E,Run2_M,Run2_R,Run2_Read,Run2_Total,Run3_E,Run3_M,Run3_R,Run3_Read,Run3_Total,AvgEvidence,AvgMethod,AvgRestraint,AvgReadability,JudgeScore,RawTotal,DisplayResult
15,ls05-low-confidence-pocket,T1,75,False,False,REPORT_OVERCLAIM_OR_INCONSISTENT,5.0,3.0,5.0,5.0,18.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,3.67,5.0,5.0,18.67,93.67,FAIL（49）
16,ls06-eno1-effect-size,C0,80,False,True,,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,3.0,5.0,18.0,5.0,4.33,4.33,5.0,18.67,98.67,98.67
16,ls06-eno1-effect-size,T0,80,False,True,,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,5.0,5.0,19.33,99.33,99.33
16,ls06-eno1-effect-size,T1,80,False,True,,3.0,3.0,5.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,3.0,5.0,5.0,5.0,18.0,3.67,4.33,5.0,5.0,18.0,98.0,98.00
17,ls06-eno1-significance-audit,C0,80,False,True,,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,3.0,5.0,18.0,5.0,4.33,4.33,5.0,18.67,98.67,98.67
17,ls06-eno1-significance-audit,T0,80,False,True,,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,5.0,5.0,19.33,99.33,99.33
17,ls06-eno1-significance-audit,T1,80,False,True,,3.0,3.0,5.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,3.0,5.0,5.0,5.0,18.0,3.67,4.33,5.0,5.0,18.0,98.0,98.00
18,ls07-combination-treatment-deg,C0,20,False,False,FATAL_FROZEN_CONTRAST_DIRECTION;FATAL_INPUT_LINKED_QUANTITATIVE_GROUNDING;FATAL_OFFICIAL_ENDPOINT_AND_PREDICATE,5.0,3.0,3.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,4.33,5.0,18.67,38.67,FAIL（38.67）
18,ls07-combination-treatment-deg,T0,20,False,False,FATAL_FROZEN_CONTRAST_DIRECTION;FATAL_INPUT_LINKED_QUANTITATIVE_GROUNDING;FATAL_OFFICIAL_ENDPOINT_AND_PREDICATE,5.0,3.0,3.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,4.33,5.0,18.67,38.67,FAIL（38.67）
18,ls07-combination-treatment-deg,T1,20,False,False,FATAL_FROZEN_CONTRAST_DIRECTION;FATAL_INPUT_LINKED_QUANTITATIVE_GROUNDING;FATAL_OFFICIAL_ENDPOINT_AND_PREDICATE,5.0,3.0,3.0,5.0,16.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,3.67,4.33,5.0,18.0,38.0,FAIL（38.00）
19,ls07-combination-treatment-mechanism,C0,52,False,False,DIRECTION_UNSUPPORTED;ENRICHMENT_STATISTICS_INVALID;REPORT_SCIENCE_INCOMPLETE,3.0,3.0,3.0,5.0,14.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,4.33,3.67,4.33,5.0,17.33,69.33,FAIL（49）
19,ls07-combination-treatment-mechanism,T0,52,False,False,CAUSAL_OVERCLAIM;DIRECTION_UNSUPPORTED;ENRICHMENT_STATISTICS_INVALID;REPORT_SCIENCE_INCOMPLETE,3.0,3.0,3.0,5.0,14.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,4.33,3.67,4.33,5.0,17.33,69.33,FAIL（49）
19,ls07-combination-treatment-mechanism,T1,52,False,False,DIRECTION_UNSUPPORTED;ENRICHMENT_STATISTICS_INVALID;REPORT_SCIENCE_INCOMPLETE,3.0,3.0,3.0,5.0,14.0,5.0,3.0,5.0,5.0,18.0,3.0,5.0,5.0,5.0,18.0,3.67,3.67,4.33,5.0,16.67,68.67,FAIL（49）
20,ls08-enhancer-promoter-integration,C0,20,False,False,AUTHORIZED_TRUTH_INTEGRITY_FAILURE;COMBINED_SUPPORT_MISMATCH;CONTACT_EVIDENCE_MISMATCH;LEAST_SUPPORTED_CALL_MISMATCH;PERTURBATION_EFFECT_MISMATCH;REPORT_CONCLUSION_UNSUPPORTED;SUPPORT_RANK_MISMATCH,5.0,3.0,3.0,5.0,16.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,3.67,4.33,5.0,18.0,38.0,FAIL（38.00）
20,ls08-enhancer-promoter-integration,T0,20,False,False,AUTHORIZED_TRUTH_INTEGRITY_FAILURE;COMBINED_SUPPORT_MISMATCH;CONTACT_EVIDENCE_MISMATCH;LEAST_SUPPORTED_CALL_MISMATCH;PERTURBATION_EFFECT_MISMATCH;REPORT_CONCLUSION_UNSUPPORTED;SUPPORT_RANK_MISMATCH,5.0,3.0,3.0,5.0,16.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,3.67,4.33,5.0,18.0,38.0,FAIL（38.00）
20,ls08-enhancer-promoter-integration,T1,20,False,False,AUTHORIZED_TRUTH_INTEGRITY_FAILURE;COMBINED_SUPPORT_MISMATCH;CONTACT_EVIDENCE_MISMATCH;LEAST_SUPPORTED_CALL_MISMATCH;PERTURBATION_EFFECT_MISMATCH;REPORT_CONCLUSION_UNSUPPORTED;SUPPORT_RANK_MISMATCH,5.0,3.0,3.0,5.0,16.0,5.0,3.0,5.0,5.0,18.0,3.0,5.0,5.0,5.0,18.0,4.33,3.67,4.33,5.0,17.33,37.33,FAIL（37.33）
21,ls08-multiome-column-match,C0,78,False,False,SHARED_SIGNAL_EXPLANATION_INCOMPLETE,5.0,3.0,3.0,5.0,16.0,5.0,3.0,5.0,5.0,18.0,5.0,0.0,5.0,5.0,15.0,5.0,2.0,4.33,5.0,16.33,94.33,FAIL（49）
21,ls08-multiome-column-match,T0,80,False,True,,5.0,3.0,3.0,5.0,16.0,5.0,3.0,5.0,5.0,18.0,3.0,0.0,5.0,5.0,13.0,4.33,2.0,4.33,5.0,15.67,95.67,95.67
21,ls08-multiome-column-match,T1,71,False,False,REPORT_TRUTH_SUMMARY_MISSING;SHARED_SIGNAL_EXPLANATION_INCOMPLETE,5.0,3.0,3.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,3.0,0.0,5.0,5.0,13.0,4.33,2.67,4.33,5.0,16.33,87.33,FAIL（49）
22,ls09-opentrons-sop,C0,35,False,False,LS09_FATAL_CONTAMINATION_PHYSICAL_SAFETY;LS09_FATAL_TRANSFER_PLAN_SCIENCE;LS09_REPORT_GROUNDED_IN_RECOMPUTED_PLAN,5.0,3.0,3.0,5.0,16.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,3.67,4.33,5.0,18.0,53.0,FAIL（49）
22,ls09-opentrons-sop,T0,35,False,False,LS09_FATAL_CONTAMINATION_PHYSICAL_SAFETY;LS09_FATAL_TRANSFER_PLAN_SCIENCE;LS09_REPORT_GROUNDED_IN_RECOMPUTED_PLAN,5.0,3.0,3.0,5.0,16.0,5.0,3.0,5.0,5.0,18.0,3.0,5.0,5.0,5.0,18.0,4.33,3.67,4.33,5.0,17.33,52.33,FAIL（49）
22,ls09-opentrons-sop,T1,35,False,False,LS09_FATAL_CONTAMINATION_PHYSICAL_SAFETY;LS09_FATAL_TRANSFER_PLAN_SCIENCE;LS09_REPORT_GROUNDED_IN_RECOMPUTED_PLAN,5.0,3.0,3.0,5.0,16.0,5.0,3.0,5.0,5.0,18.0,3.0,5.0,5.0,5.0,18.0,4.33,3.67,4.33,5.0,17.33,52.33,FAIL（49）
23,ls09-plate-dilution-recovery,C0,34,False,False,LS09_RECOVERY_DILUTION_MASS_BALANCE;LS09_RECOVERY_PIPETTE_FEASIBILITY;LS09_RECOVERY_REPORT_CONSISTENCY;LS09_RECOVERY_SOURCE_NOT_OVERDRAWN;LS09_RECOVERY_TWO_WELL_RECOVERY_CONTRACT,5.0,5.0,5.0,5.0,20.0,5.0,3.0,5.0,5.0,18.0,3.0,0.0,5.0,5.0,13.0,4.33,2.67,5.0,5.0,17.0,51.0,FAIL（49）
23,ls09-plate-dilution-recovery,T0,34,False,False,LS09_RECOVERY_DILUTION_MASS_BALANCE;LS09_RECOVERY_PIPETTE_FEASIBILITY;LS09_RECOVERY_REPORT_CONSISTENCY;LS09_RECOVERY_SOURCE_NOT_OVERDRAWN;LS09_RECOVERY_TWO_WELL_RECOVERY_CONTRACT,5.0,5.0,3.0,5.0,18.0,5.0,3.0,5.0,5.0,18.0,3.0,0.0,5.0,5.0,13.0,4.33,2.67,4.33,5.0,16.33,50.33,FAIL（49）
23,ls09-plate-dilution-recovery,T1,39,False,False,LS09_RECOVERY_DILUTION_MASS_BALANCE;LS09_RECOVERY_PIPETTE_FEASIBILITY;LS09_RECOVERY_SOURCE_NOT_OVERDRAWN;LS09_RECOVERY_TWO_WELL_RECOVERY_CONTRACT,5.0,5.0,3.0,5.0,18.0,5.0,3.0,5.0,5.0,18.0,3.0,0.0,5.0,5.0,13.0,4.33,2.67,4.33,5.0,16.33,55.33,FAIL（49）
24,ls10-neun-power-analysis,C0,80,False,True,,5.0,3.0,3.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,5.0,0.0,3.0,5.0,13.0,5.0,2.67,3.67,5.0,16.33,96.33,96.33
24,ls10-neun-power-analysis,T0,80,False,True,,5.0,3.0,3.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,3.0,0.0,3.0,5.0,11.0,4.33,2.67,3.67,5.0,15.67,95.67,95.67
24,ls10-neun-power-analysis,T1,80,False,True,,5.0,3.0,3.0,5.0,16.0,5.0,5.0,3.0,5.0,18.0,3.0,0.0,3.0,5.0,11.0,4.33,2.67,3.0,5.0,15.0,95.0,95.00
25,ls10-treatment-response-model,C0,75,False,False,REPORT_MISMATCH,5.0,3.0,3.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,3.0,0.0,3.0,5.0,11.0,4.33,2.67,3.67,5.0,15.67,90.67,FAIL（49）
25,ls10-treatment-response-model,T0,75,False,False,REPORT_MISMATCH,5.0,3.0,3.0,5.0,16.0,5.0,5.0,3.0,5.0,18.0,3.0,0.0,3.0,5.0,11.0,4.33,2.67,3.0,5.0,15.0,90.0,FAIL（49）
25,ls10-treatment-response-model,T1,75,False,False,REPORT_MISMATCH,5.0,3.0,3.0,5.0,16.0,5.0,5.0,3.0,5.0,18.0,3.0,0.0,3.0,5.0,11.0,4.33,2.67,3.0,5.0,15.0,90.0,FAIL（49）
